tournament_weight,roulette_weight,run,best_fitness,generations
0.0,1.0,0,153600,908
0.0,1.0,1,154100,841
0.0,1.0,2,132600,706
0.0,1.0,3,156000,998
0.0,1.0,4,145200,999
0.1,0.9,0,146200,523
0.1,0.9,1,146300,733
0.1,0.9,2,154900,704
0.1,0.9,3,147000,999
0.1,0.9,4,160900,824
0.2,0.8,0,140900,405
0.2,0.8,1,158900,733
0.2,0.8,2,159600,509
0.2,0.8,3,143200,347
0.2,0.8,4,141000,696
0.30000000000000004,0.7,0,142400,354
0.30000000000000004,0.7,1,154800,652
0.30000000000000004,0.7,2,151200,417
0.30000000000000004,0.7,3,151600,329
0.30000000000000004,0.7,4,149600,401
0.4,0.6,0,151200,431
0.4,0.6,1,150700,480
0.4,0.6,2,145700,575
0.4,0.6,3,147000,393
0.4,0.6,4,153500,711
0.5,0.5,0,155100,648
0.5,0.5,1,152500,373
0.5,0.5,2,148300,631
0.5,0.5,3,150100,749
0.5,0.5,4,147400,446
0.6000000000000001,0.3999999999999999,0,152900,571
0.6000000000000001,0.3999999999999999,1,146900,510
0.6000000000000001,0.3999999999999999,2,148600,325
0.6000000000000001,0.3999999999999999,3,149200,555
0.6000000000000001,0.3999999999999999,4,148600,383
0.7000000000000001,0.29999999999999993,0,141000,288
0.7000000000000001,0.29999999999999993,1,143900,331
0.7000000000000001,0.29999999999999993,2,155100,590
0.7000000000000001,0.29999999999999993,3,154800,999
0.7000000000000001,0.29999999999999993,4,148700,622
0.8,0.19999999999999996,0,141300,799
0.8,0.19999999999999996,1,146900,730
0.8,0.19999999999999996,2,151000,681
0.8,0.19999999999999996,3,152000,943
0.8,0.19999999999999996,4,150400,361
0.9,0.09999999999999998,0,149200,999
0.9,0.09999999999999998,1,150800,335
0.9,0.09999999999999998,2,147300,437
0.9,0.09999999999999998,3,156900,480
0.9,0.09999999999999998,4,157500,591
1.0,0.0,0,155200,393
1.0,0.0,1,155300,527
1.0,0.0,2,149000,349
1.0,0.0,3,159700,543
1.0,0.0,4,158600,580
