population_size,mutation_rate,elite_size,crossover_rate,run,best_fitness,generations
500,0.2,10,0.7,0,158400,537
500,0.2,10,0.7,1,158900,383
500,0.2,10,0.7,2,153500,431
500,0.2,10,0.8,0,147200,630
500,0.2,10,0.8,1,156300,296
500,0.2,10,0.8,2,155400,543
500,0.2,20,0.7,0,153700,635
500,0.2,20,0.7,1,147800,327
500,0.2,20,0.7,2,153300,459
500,0.2,20,0.8,0,159700,284
500,0.2,20,0.8,1,151200,322
500,0.2,20,0.8,2,155200,555
500,0.3,10,0.7,0,152100,598
500,0.3,10,0.7,1,157100,323
500,0.3,10,0.7,2,148800,492
500,0.3,10,0.8,0,157800,659
500,0.3,10,0.8,1,157100,267
500,0.3,10,0.8,2,153200,365
500,0.3,20,0.7,0,152000,333
500,0.3,20,0.7,1,156900,421
500,0.3,20,0.7,2,156800,451
500,0.3,20,0.8,0,156000,579
500,0.3,20,0.8,1,156500,275
500,0.3,20,0.8,2,161300,417
