population_size,mutation_rate,elite_size,crossover_rate,avg_fitness,std_fitness,max_fitness,min_fitness,avg_generations,std_generations
50,0.05,5,0.7,150766.66666666666,2795.6315128349006,154400,147600,774.3333333333334,165.54019317240017
50,0.05,5,0.8,149800.0,4382.54111979188,153800,143700,662.6666666666666,128.92978278461842
50,0.05,5,0.9,143533.33333333334,2503.7749277618564,146900,140900,640.6666666666666,220.06261735141558
50,0.05,5,0.95,150300.0,4315.089802078283,156200,146000,583.6666666666666,137.21111066123214
50,0.05,10,0.7,149333.33333333334,659.9663291074443,150200,148600,842.0,113.77463103287423
50,0.05,10,0.8,145866.66666666666,4798.842453018111,150300,139200,619.3333333333334,152.17606761759734
50,0.05,10,0.9,144100.0,8134.289561274953,155600,138100,744.3333333333334,98.73983773308296
50,0.05,10,0.95,156666.66666666666,939.2668535736915,157800,155500,698.6666666666666,125.8367549203685
50,0.05,20,0.7,145833.33333333334,7471.873184743495,154900,136600,848.6666666666666,176.4583677685917
50,0.05,20,0.8,147033.33333333334,1359.7385369580759,148900,145700,811.3333333333334,133.0922821036425
50,0.05,20,0.9,143566.66666666666,1973.7161790783282,145800,141000,599.6666666666666,95.84825970714799
50,0.05,20,0.95,152866.66666666666,6489.136220552693,160000,144300,740.0,188.46927247343706
50,0.1,5,0.7,148466.66666666666,4833.448274495365,155300,144900,777.0,163.27481945072446
50,0.1,5,0.8,150600.0,3699.549522126534,153700,145400,638.6666666666666,54.35888969514452
50,0.1,5,0.9,144433.33333333334,5563.172556095028,149900,136800,694.6666666666666,157.0590830087695
50,0.1,5,0.95,145466.66666666666,3219.040574802098,149700,141900,737.6666666666666,140.00555544533066
50,0.1,10,0.7,147700.0,4320.4937989385735,153700,143700,711.6666666666666,92.16772151295099
50,0.1,10,0.8,149300.0,2286.190426597633,152500,147300,615.3333333333334,175.4049283483474
50,0.1,10,0.9,144100.0,7576.7187269072265,152600,134200,639.3333333333334,40.5325657822064
50,0.1,10,0.95,150366.66666666666,3351.9480239937425,154900,146900,788.3333333333334,227.13481067908154
50,0.1,20,0.7,141100.0,1981.5818596935799,142600,138300,741.3333333333334,79.60876556985139
50,0.1,20,0.8,144366.66666666666,3522.625283632775,149300,141300,723.3333333333334,157.5570443433813
50,0.1,20,0.9,147166.66666666666,188.56180831641268,147300,146900,877.3333333333334,160.8815989754232
50,0.1,20,0.95,149700.0,6763.135367564367,156800,140600,735.0,217.20650696207667
50,0.2,5,0.7,147066.66666666666,6714.329618228631,153100,137700,687.3333333333334,256.8194350554923
50,0.2,5,0.8,149666.66666666666,4579.179936286506,153200,143200,433.6666666666667,80.83865961833415
50,0.2,5,0.9,154133.33333333334,2594.0101944458293,157800,152200,575.0,92.52387079379389
50,0.2,5,0.95,148800.0,2899.4252303976846,152900,146700,641.3333333333334,89.46631892629885
50,0.2,10,0.7,153733.33333333334,4821.018795049676,159500,147700,490.6666666666667,61.483511791554506
50,0.2,10,0.8,147666.66666666666,5778.888782071823,155600,142000,538.0,108.59404526338756
50,0.2,10,0.9,149600.0,4730.750469005949,154700,143300,660.3333333333334,198.22602138860466
50,0.2,10,0.95,146333.33333333334,1329.995822884,148200,145200,509.6666666666667,124.92753455059012
50,0.2,20,0.7,146466.66666666666,5851.685417229999,152100,138400,679.6666666666666,86.79989759338558
50,0.2,20,0.8,144866.66666666666,3419.876540981495,148300,140200,696.0,166.92712981018593
50,0.2,20,0.9,149466.66666666666,2663.7484032009397,151400,145700,628.6666666666666,178.01934975976317
50,0.2,20,0.95,151066.66666666666,4569.707017109764,156200,145100,805.0,152.2694979304785
50,0.3,5,0.7,147033.33333333334,5513.821018334039,153900,140400,452.6666666666667,90.27488884266519
50,0.3,5,0.8,149966.66666666666,5268.986830712544,157200,144800,477.3333333333333,102.05989526852466
50,0.3,5,0.9,145133.33333333334,5215.574965641106,150000,137900,639.0,101.11709384009544
50,0.3,5,0.95,149133.33333333334,3868.103181434309,152400,143700,578.3333333333334,112.44356609230942
50,0.3,10,0.7,145100.0,4673.328578219169,148700,138500,464.3333333333333,53.94029621308689
50,0.3,10,0.8,148900.0,3287.349489583769,153300,145400,573.3333333333334,75.45565290656198
50,0.3,10,0.9,153400.0,4084.931659975068,158300,148300,511.3333333333333,48.30688931773144
50,0.3,10,0.95,149600.0,1157.5836902790224,150700,148000,524.3333333333334,24.984439601924677
50,0.3,20,0.7,143266.66666666666,4980.852225160759,149400,137200,507.3333333333333,83.32399947727478
50,0.3,20,0.8,150366.66666666666,2889.4443910359114,153200,146400,576.6666666666666,71.82076456166575
