population_size,mutation_rate,elite_size,crossover_rate,run,best_fitness,generations
50,0.05,5,0.7,0,147600,605
50,0.05,5,0.7,1,150300,719
50,0.05,5,0.7,2,154400,999
50,0.05,5,0.8,0,143700,716
50,0.05,5,0.8,1,153800,485
50,0.05,5,0.8,2,151900,787
50,0.05,5,0.9,0,140900,408
50,0.05,5,0.9,1,142800,578
50,0.05,5,0.9,2,146900,936
50,0.05,5,0.95,0,146000,418
50,0.05,5,0.95,1,148700,754
50,0.05,5,0.95,2,156200,579
50,0.05,10,0.7,0,148600,999
50,0.05,10,0.7,1,149200,794
50,0.05,10,0.7,2,150200,733
50,0.05,10,0.8,0,148100,415
50,0.05,10,0.8,1,139200,780
50,0.05,10,0.8,2,150300,663
50,0.05,10,0.9,0,138600,797
50,0.05,10,0.9,1,138100,606
50,0.05,10,0.9,2,155600,830
50,0.05,10,0.95,0,157800,529
50,0.05,10,0.95,1,155500,830
50,0.05,10,0.95,2,156700,737
50,0.05,20,0.7,0,154900,946
50,0.05,20,0.7,1,136600,601
50,0.05,20,0.7,2,146000,999
50,0.05,20,0.8,0,145700,730
50,0.05,20,0.8,1,146500,999
50,0.05,20,0.8,2,148900,705
50,0.05,20,0.9,0,141000,466
50,0.05,20,0.9,1,145800,647
50,0.05,20,0.9,2,143900,686
50,0.05,20,0.95,0,154300,999
50,0.05,20,0.95,1,160000,665
50,0.05,20,0.95,2,144300,556
50,0.1,5,0.7,0,155300,999
50,0.1,5,0.7,1,144900,721
50,0.1,5,0.7,2,145200,611
50,0.1,5,0.8,0,152700,707
50,0.1,5,0.8,1,145400,635
50,0.1,5,0.8,2,153700,574
50,0.1,5,0.9,0,146600,660
50,0.1,5,0.9,1,136800,522
50,0.1,5,0.9,2,149900,902
50,0.1,5,0.95,0,149700,604
50,0.1,5,0.95,1,141900,931
50,0.1,5,0.95,2,144800,678
50,0.1,10,0.7,0,153700,582
50,0.1,10,0.7,1,145700,788
50,0.1,10,0.7,2,143700,765
50,0.1,10,0.8,0,152500,394
50,0.1,10,0.8,1,148100,629
50,0.1,10,0.8,2,147300,823
50,0.1,10,0.9,0,145500,635
50,0.1,10,0.9,1,152600,691
50,0.1,10,0.9,2,134200,592
50,0.1,10,0.95,0,149300,473
50,0.1,10,0.95,1,146900,999
50,0.1,10,0.95,2,154900,893
50,0.1,20,0.7,0,142600,629
50,0.1,20,0.7,1,138300,804
50,0.1,20,0.7,2,142400,791
50,0.1,20,0.8,0,142500,567
50,0.1,20,0.8,1,141300,664
50,0.1,20,0.8,2,149300,939
50,0.1,20,0.9,0,147300,650
50,0.1,20,0.9,1,147300,999
50,0.1,20,0.9,2,146900,983
50,0.1,20,0.95,0,151700,739
50,0.1,20,0.95,1,156800,999
50,0.1,20,0.95,2,140600,467
50,0.2,5,0.7,0,153100,999
50,0.2,5,0.7,1,150400,693
50,0.2,5,0.7,2,137700,370
50,0.2,5,0.8,0,152600,547
50,0.2,5,0.8,1,143200,390
50,0.2,5,0.8,2,153200,364
50,0.2,5,0.9,0,152400,700
50,0.2,5,0.9,1,157800,546
50,0.2,5,0.9,2,152200,479
50,0.2,5,0.95,0,146800,741
50,0.2,5,0.95,1,146700,659
50,0.2,5,0.95,2,152900,524
50,0.2,10,0.7,0,154000,512
50,0.2,10,0.7,1,159500,553
50,0.2,10,0.7,2,147700,407
50,0.2,10,0.8,0,142000,395
50,0.2,10,0.8,1,155600,658
50,0.2,10,0.8,2,145400,561
50,0.2,10,0.9,0,150800,926
50,0.2,10,0.9,1,154700,450
50,0.2,10,0.9,2,143300,605
50,0.2,10,0.95,0,148200,686
50,0.2,10,0.95,1,145600,412
50,0.2,10,0.95,2,145200,431
50,0.2,20,0.7,0,138400,569
50,0.2,20,0.7,1,152100,781
50,0.2,20,0.7,2,148900,689
50,0.2,20,0.8,0,146100,863
50,0.2,20,0.8,1,140200,468
50,0.2,20,0.8,2,148300,757
50,0.2,20,0.9,0,151400,388
50,0.2,20,0.9,1,151300,813
50,0.2,20,0.9,2,145700,685
50,0.2,20,0.95,0,151900,590
50,0.2,20,0.95,1,156200,902
50,0.2,20,0.95,2,145100,923
50,0.3,5,0.7,0,140400,340
50,0.3,5,0.7,1,153900,457
50,0.3,5,0.7,2,146800,561
50,0.3,5,0.8,0,157200,550
50,0.3,5,0.8,1,147900,549
50,0.3,5,0.8,2,144800,333
50,0.3,5,0.9,0,137900,606
50,0.3,5,0.9,1,147500,535
50,0.3,5,0.9,2,150000,776
50,0.3,5,0.95,0,143700,733
50,0.3,5,0.95,1,152400,469
50,0.3,5,0.95,2,151300,533
50,0.3,10,0.7,0,148700,532
50,0.3,10,0.7,1,148100,461
50,0.3,10,0.7,2,138500,400
50,0.3,10,0.8,0,148000,678
50,0.3,10,0.8,1,153300,503
50,0.3,10,0.8,2,145400,539
50,0.3,10,0.9,0,153600,555
50,0.3,10,0.9,1,148300,444
50,0.3,10,0.9,2,158300,535
50,0.3,10,0.95,0,150700,542
50,0.3,10,0.95,1,148000,489
50,0.3,10,0.95,2,150100,542
50,0.3,20,0.7,0,137200,625
50,0.3,20,0.7,1,143200,454
50,0.3,20,0.7,2,149400,443
50,0.3,20,0.8,0,146400,532
50,0.3,20,0.8,1,153200,520
50,0.3,20,0.8,2,151500,678
50,0.3,20,0.9,0,145900,601
50,0.3,20,0.9,1,133900,599
50,0.3,20,0.9,2,149300,706
50,0.3,20,0.95,0,152500,724
50,0.3,20,0.95,1,136200,504
50,0.3,20,0.95,2,148200,507
100,0.05,5,0.7,0,148700,510
100,0.05,5,0.7,1,143600,641
100,0.05,5,0.7,2,141200,522
100,0.05,5,0.8,0,156000,655
100,0.05,5,0.8,1,155400,428
100,0.05,5,0.8,2,150200,794
100,0.05,5,0.9,0,154300,528
100,0.05,5,0.9,1,157600,335
100,0.05,5,0.9,2,143400,586
100,0.05,5,0.95,0,149300,740
100,0.05,5,0.95,1,157200,482
100,0.05,5,0.95,2,146500,774
100,0.05,10,0.7,0,142300,717
100,0.05,10,0.7,1,148500,817
100,0.05,10,0.7,2,149900,587
100,0.05,10,0.8,0,149500,999
100,0.05,10,0.8,1,144600,652
100,0.05,10,0.8,2,153800,365
100,0.05,10,0.9,0,146100,546
100,0.05,10,0.9,1,149200,616
100,0.05,10,0.9,2,149000,323
100,0.05,10,0.95,0,145100,472
100,0.05,10,0.95,1,149500,508
100,0.05,10,0.95,2,143900,402
100,0.05,20,0.7,0,151000,647
100,0.05,20,0.7,1,137600,435
100,0.05,20,0.7,2,154700,366
100,0.05,20,0.8,0,158200,426
100,0.05,20,0.8,1,152800,475
100,0.05,20,0.8,2,150100,569
100,0.05,20,0.9,0,159400,817
100,0.05,20,0.9,1,148400,595
100,0.05,20,0.9,2,141800,917
100,0.05,20,0.95,0,148300,730
100,0.05,20,0.95,1,151200,556
100,0.05,20,0.95,2,155800,289
100,0.1,5,0.7,0,149700,999
100,0.1,5,0.7,1,152300,350
100,0.1,5,0.7,2,156500,574
100,0.1,5,0.8,0,157100,666
100,0.1,5,0.8,1,156500,571
100,0.1,5,0.8,2,156100,340
100,0.1,5,0.9,0,146600,852
100,0.1,5,0.9,1,155000,907
100,0.1,5,0.9,2,149700,428
100,0.1,5,0.95,0,149000,371
100,0.1,5,0.95,1,141300,548
100,0.1,5,0.95,2,143300,540
100,0.1,10,0.7,0,154000,488
100,0.1,10,0.7,1,158100,408
100,0.1,10,0.7,2,155400,814
100,0.1,10,0.8,0,156800,479
100,0.1,10,0.8,1,151500,687
100,0.1,10,0.8,2,153500,481
100,0.1,10,0.9,0,144200,277
100,0.1,10,0.9,1,149500,484
100,0.1,10,0.9,2,144000,408
100,0.1,10,0.95,0,150200,461
100,0.1,10,0.95,1,154800,476
100,0.1,10,0.95,2,150500,660
100,0.1,20,0.7,0,153400,625
100,0.1,20,0.7,1,148400,890
100,0.1,20,0.7,2,147200,660
100,0.1,20,0.8,0,153200,727
100,0.1,20,0.8,1,140400,406
100,0.1,20,0.8,2,151400,476
100,0.1,20,0.9,0,134600,296
100,0.1,20,0.9,1,156500,268
100,0.1,20,0.9,2,149900,414
100,0.1,20,0.95,0,153800,368
100,0.1,20,0.95,1,149300,650
100,0.1,20,0.95,2,150300,378
100,0.2,5,0.7,0,157100,455
100,0.2,5,0.7,1,152900,590
100,0.2,5,0.7,2,157500,342
100,0.2,5,0.8,0,154900,602
100,0.2,5,0.8,1,149300,420
100,0.2,5,0.8,2,153500,820
100,0.2,5,0.9,0,157200,505
100,0.2,5,0.9,1,151300,529
100,0.2,5,0.9,2,152400,406
100,0.2,5,0.95,0,145100,691
100,0.2,5,0.95,1,158400,419
100,0.2,5,0.95,2,148900,395
100,0.2,10,0.7,0,148100,340
100,0.2,10,0.7,1,152500,393
100,0.2,10,0.7,2,157200,470
100,0.2,10,0.8,0,150200,554
100,0.2,10,0.8,1,148600,306
100,0.2,10,0.8,2,137800,353
100,0.2,10,0.9,0,149300,459
100,0.2,10,0.9,1,156500,662
100,0.2,10,0.9,2,151500,462
100,0.2,10,0.95,0,152300,411
100,0.2,10,0.95,1,148700,766
100,0.2,10,0.95,2,135100,426
100,0.2,20,0.7,0,153900,473
100,0.2,20,0.7,1,143800,440
100,0.2,20,0.7,2,152900,282
100,0.2,20,0.8,0,154900,380
100,0.2,20,0.8,1,136200,477
100,0.2,20,0.8,2,149900,430
100,0.2,20,0.9,0,154300,648
100,0.2,20,0.9,1,150900,430
100,0.2,20,0.9,2,150700,384
100,0.2,20,0.95,0,152500,488
100,0.2,20,0.95,1,141400,283
100,0.2,20,0.95,2,144900,595
100,0.3,5,0.7,0,151200,399
100,0.3,5,0.7,1,155600,657
100,0.3,5,0.7,2,152900,769
100,0.3,5,0.8,0,152600,325
100,0.3,5,0.8,1,154100,431
100,0.3,5,0.8,2,154600,385
100,0.3,5,0.9,0,161300,360
100,0.3,5,0.9,1,149400,535
100,0.3,5,0.9,2,158900,380
100,0.3,5,0.95,0,155100,709
100,0.3,5,0.95,1,154200,307
100,0.3,5,0.95,2,153300,404
100,0.3,10,0.7,0,150400,467
100,0.3,10,0.7,1,154300,602
100,0.3,10,0.7,2,136000,356
100,0.3,10,0.8,0,157700,396
100,0.3,10,0.8,1,147700,317
100,0.3,10,0.8,2,152700,390
100,0.3,10,0.9,0,140400,302
100,0.3,10,0.9,1,153000,359
100,0.3,10,0.9,2,157200,524
100,0.3,10,0.95,0,156300,428
100,0.3,10,0.95,1,152800,522
100,0.3,10,0.95,2,157500,712
100,0.3,20,0.7,0,156500,329
100,0.3,20,0.7,1,150300,635
100,0.3,20,0.7,2,155500,575
100,0.3,20,0.8,0,141800,379
100,0.3,20,0.8,1,156800,477
100,0.3,20,0.8,2,146200,287
100,0.3,20,0.9,0,148700,310
100,0.3,20,0.9,1,148500,348
100,0.3,20,0.9,2,138500,301
100,0.3,20,0.95,0,153100,311
100,0.3,20,0.95,1,144600,323
100,0.3,20,0.95,2,149800,516
200,0.05,5,0.7,0,147400,314
200,0.05,5,0.7,1,147500,263
200,0.05,5,0.7,2,146300,551
200,0.05,5,0.8,0,153500,465
200,0.05,5,0.8,1,156000,777
200,0.05,5,0.8,2,151500,311
200,0.05,5,0.9,0,146500,482
200,0.05,5,0.9,1,153600,712
200,0.05,5,0.9,2,155500,329
200,0.05,5,0.95,0,156900,602
200,0.05,5,0.95,1,157300,549
200,0.05,5,0.95,2,155300,280
200,0.05,10,0.7,0,150300,277
200,0.05,10,0.7,1,145700,423
200,0.05,10,0.7,2,155200,597
200,0.05,10,0.8,0,150500,472
200,0.05,10,0.8,1,153400,365
200,0.05,10,0.8,2,147400,486
200,0.05,10,0.9,0,147600,499
200,0.05,10,0.9,1,146100,336
200,0.05,10,0.9,2,156500,630
200,0.05,10,0.95,0,158300,523
200,0.05,10,0.95,1,153300,354
200,0.05,10,0.95,2,148500,474
200,0.05,20,0.7,0,150300,565
200,0.05,20,0.7,1,149000,335
200,0.05,20,0.7,2,151400,862
200,0.05,20,0.8,0,153500,802
200,0.05,20,0.8,1,149400,556
200,0.05,20,0.8,2,152400,703
200,0.05,20,0.9,0,151900,358
200,0.05,20,0.9,1,154000,523
200,0.05,20,0.9,2,150200,501
200,0.05,20,0.95,0,156200,641
200,0.05,20,0.95,1,154400,837
200,0.05,20,0.95,2,156800,539
200,0.1,5,0.7,0,154700,286
200,0.1,5,0.7,1,158200,610
200,0.1,5,0.7,2,151100,420
200,0.1,5,0.8,0,159800,844
200,0.1,5,0.8,1,153700,631
200,0.1,5,0.8,2,154300,449
200,0.1,5,0.9,0,151900,541
200,0.1,5,0.9,1,158000,921
200,0.1,5,0.9,2,160000,614
200,0.1,5,0.95,0,148500,392
200,0.1,5,0.95,1,149400,459
200,0.1,5,0.95,2,151200,423
200,0.1,10,0.7,0,153700,678
200,0.1,10,0.7,1,158800,403
200,0.1,10,0.7,2,150400,372
200,0.1,10,0.8,0,156200,851
200,0.1,10,0.8,1,147500,310
200,0.1,10,0.8,2,151600,802
200,0.1,10,0.9,0,147100,427
200,0.1,10,0.9,1,146900,298
200,0.1,10,0.9,2,148200,273
200,0.1,10,0.95,0,151900,466
200,0.1,10,0.95,1,156000,627
200,0.1,10,0.95,2,152400,606
200,0.1,20,0.7,0,142900,496
200,0.1,20,0.7,1,153800,746
200,0.1,20,0.7,2,151900,370
200,0.1,20,0.8,0,155900,368
200,0.1,20,0.8,1,155600,499
200,0.1,20,0.8,2,148400,554
200,0.1,20,0.9,0,148000,367
200,0.1,20,0.9,1,152700,431
200,0.1,20,0.9,2,159300,437
200,0.1,20,0.95,0,153600,446
200,0.1,20,0.95,1,145800,402
200,0.1,20,0.95,2,146700,317
200,0.2,5,0.7,0,154300,341
200,0.2,5,0.7,1,153500,370
200,0.2,5,0.7,2,142900,435
200,0.2,5,0.8,0,156100,408
200,0.2,5,0.8,1,153700,296
200,0.2,5,0.8,2,154000,558
200,0.2,5,0.9,0,153200,638
200,0.2,5,0.9,1,148400,468
200,0.2,5,0.9,2,155700,626
200,0.2,5,0.95,0,153800,392
200,0.2,5,0.95,1,159900,555
200,0.2,5,0.95,2,153200,394
200,0.2,10,0.7,0,154000,278
200,0.2,10,0.7,1,146700,588
200,0.2,10,0.7,2,159100,323
200,0.2,10,0.8,0,149700,335
200,0.2,10,0.8,1,153500,645
200,0.2,10,0.8,2,156100,378
200,0.2,10,0.9,0,156300,505
200,0.2,10,0.9,1,159900,410
200,0.2,10,0.9,2,145200,402
200,0.2,10,0.95,0,156300,275
200,0.2,10,0.95,1,149900,335
200,0.2,10,0.95,2,153500,360
200,0.2,20,0.7,0,151100,376
200,0.2,20,0.7,1,153700,413
200,0.2,20,0.7,2,157800,403
200,0.2,20,0.8,0,146700,424
200,0.2,20,0.8,1,152500,627
200,0.2,20,0.8,2,148000,633
200,0.2,20,0.9,0,154900,562
200,0.2,20,0.9,1,149900,331
200,0.2,20,0.9,2,158400,368
200,0.2,20,0.95,0,157500,438
200,0.2,20,0.95,1,152600,624
200,0.2,20,0.95,2,148800,315
200,0.3,5,0.7,0,155400,278
200,0.3,5,0.7,1,152700,468
200,0.3,5,0.7,2,153400,865
200,0.3,5,0.8,0,142800,431
200,0.3,5,0.8,1,157300,354
200,0.3,5,0.8,2,157100,496
200,0.3,5,0.9,0,154700,289
200,0.3,5,0.9,1,154800,624
200,0.3,5,0.9,2,151400,483
200,0.3,5,0.95,0,157800,954
200,0.3,5,0.95,1,153700,317
200,0.3,5,0.95,2,153900,617
200,0.3,10,0.7,0,148200,488
200,0.3,10,0.7,1,159100,377
200,0.3,10,0.7,2,155500,398
200,0.3,10,0.8,0,160900,321
200,0.3,10,0.8,1,152300,294
200,0.3,10,0.8,2,148300,411
200,0.3,10,0.9,0,142200,413
200,0.3,10,0.9,1,139300,254
200,0.3,10,0.9,2,149900,471
200,0.3,10,0.95,0,154300,372
200,0.3,10,0.95,1,159300,337
200,0.3,10,0.95,2,154100,327
200,0.3,20,0.7,0,152600,333
200,0.3,20,0.7,1,155500,504
200,0.3,20,0.7,2,155200,415
200,0.3,20,0.8,0,146400,356
200,0.3,20,0.8,1,148500,378
200,0.3,20,0.8,2,151100,501
200,0.3,20,0.9,0,145700,433
200,0.3,20,0.9,1,150200,337
200,0.3,20,0.9,2,146300,330
200,0.3,20,0.95,0,155200,385
200,0.3,20,0.95,1,159900,518
200,0.3,20,0.95,2,153400,368
500,0.05,5,0.7,0,158100,543
500,0.05,5,0.7,1,148000,273
500,0.05,5,0.7,2,147800,430
500,0.05,5,0.8,0,155000,389
500,0.05,5,0.8,1,155600,712
500,0.05,5,0.8,2,162300,604
500,0.05,5,0.9,0,151900,268
500,0.05,5,0.9,1,152800,392
500,0.05,5,0.9,2,160100,655
500,0.05,5,0.95,0,154700,573
500,0.05,5,0.95,1,155800,323
500,0.05,5,0.95,2,150300,392
500,0.05,10,0.7,0,151600,709
500,0.05,10,0.7,1,155000,444
500,0.05,10,0.7,2,148500,305
500,0.05,10,0.8,0,148300,412
500,0.05,10,0.8,1,149700,246
500,0.05,10,0.8,2,155400,377
500,0.05,10,0.9,0,159600,816
500,0.05,10,0.9,1,154600,550
500,0.05,10,0.9,2,152100,515
500,0.05,10,0.95,0,152100,266
500,0.05,10,0.95,1,158700,477
500,0.05,10,0.95,2,148200,294
500,0.05,20,0.7,0,159100,262
500,0.05,20,0.7,1,155100,470
500,0.05,20,0.7,2,153700,475
500,0.05,20,0.8,0,155500,269
500,0.05,20,0.8,1,148900,361
500,0.05,20,0.8,2,156900,717
500,0.05,20,0.9,0,159000,707
500,0.05,20,0.9,1,157600,386
500,0.05,20,0.9,2,150000,324
500,0.05,20,0.95,0,155900,363
500,0.05,20,0.95,1,155500,276
500,0.05,20,0.95,2,159400,274
500,0.1,5,0.7,0,149400,653
500,0.1,5,0.7,1,155300,477
500,0.1,5,0.7,2,155800,999
500,0.1,5,0.8,0,157100,554
500,0.1,5,0.8,1,156100,334
500,0.1,5,0.8,2,156000,925
500,0.1,5,0.9,0,158500,707
